model_id,inferred_paradigm,arch_key,vllm,llamacpp,tgi,gptq,awq,bnb,support_score,measured_tax,frameworks_full,frameworks_partial,frameworks_none,hybridization_score,adoption_residual,log10_downloads,param_b,downloads
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,1.3170857261742173,5.849517073003415,7.615616512,707158.0
google/gemma-3-4b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.60065871824317,6.067880263346934,4.300079472,1169176.0
ibm-granite/granite-4.0-h-tiny,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.9,-0.3960378085445049,4.361179901813601,6.939037248,22970.0
ibm-granite/granite-4.0-micro,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.7,0.12538628442060773,4.76242346269934,3.40283648,57865.0
ibm-granite/granite-4.0-tiny-preview,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.7,-0.19851899266723194,4.4122084658816805,6.671539776,25834.0
microsoft/Phi-4-mini-instruct,transformer,phi3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.8671739781774139,5.314128561700311,3.83602176,206123.0
microsoft/Phi-4-mini-reasoning,reasoning,phi3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,-0.5082924357146412,4.0080889362915775,3.83602176,10187.0
nvidia/Nemotron-H-4B-Instruct-128K,hybrid,nemotron_h,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-0.08469289008875691,4.444122899412919,4.48922304,27804.0
tiiuae/Falcon-H1-3B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.0656691447371456,3.4194600727860704,3.149392384,2626.0
tiiuae/Falcon-H1-7B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.1377081348658358,3.4956830676169153,7.58565488,3130.0
tiiuae/falcon-mamba-7b,ssm,falcon_mamba,1.0,1.0,0.0,0.0,0.0,0.5,0.525,0.475,2,1,3,0.35,-0.4891772404349637,3.8473258307854237,7.272665088,7035.0
Qwen/Qwen3-14B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.1136782893844632,5.855411325800249,14.7683072,716821.0
Qwen/Qwen3-32B,transformer,qwen3,1.0,1.0,0.0,1.0,1.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.3172240912647428,6.193345030371111,32.762123264,1560791.0
allenai/Olmo-3-1125-32B,transformer,unknown,,,,,,,,,0,0,0,0.0,-1.223761572307815,3.841797298874355,32.233522176,6946.0
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,reasoning,deepseek_r1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,6,0,0,0.0,0.9788668996895371,5.623019674053513,14.770033664,419777.0
google/gemma-3-12b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.4375546459437851,6.089537394382976,12.18732504,1228958.0
google/gemma-3-27b-it,transformer,gemma3,1.0,1.0,1.0,1.0,0.0,1.0,0.9,0.09999999999999998,5,0,1,0.0,1.4516101032128965,6.240432921653932,27.43240664,1739533.0
ibm-granite/granite-4.0-h-small,hybrid,granite_hybrid,0.5,1.0,0.0,0.0,0.0,0.5,0.4,0.6,1,2,3,0.9,-0.2432911254071266,4.772827599785911,32.207337984,59268.0
inclusionAI/LLaDA2.0-mini,diffusion,unknown,,,,,,,,,0,0,0,0.0,-0.42936236016803964,4.541866182844564,16.255643392,34822.0
microsoft/Phi-4-reasoning,reasoning,unknown,,,,,,,,,0,0,0,0.0,-0.9736439921950257,3.7487305560984945,14.6595072,5606.0
openai/gpt-oss-20b,transformer,unknown,,,,,,,,,0,0,0,0.0,1.8363111258787326,6.741094451081204,21.511953984,5509274.0
tiiuae/Falcon-H1-34B-Instruct,hybrid,falcon_h1,1.0,1.0,0.0,1.0,0.0,0.5,0.725,0.275,3,1,2,0.9,-1.9788222975955616,2.9057958803678687,33.642516224,804.0
TinyLlama/TinyLlama-1.1B-Chat-v1.0,transformer,unknown,,,,,,,,,0,0,0,0.0,2.4314946818640837,6.248197716516519,1.100048384,1770914.0
