excluded,loo_mean,delta
Qwen2.5-7B,-0.01171875,0.005245535714285699
Qwen3-8B,-0.01506696428571426,0.0018973214285714392
OLMo2-7B,-0.017299107142857123,-0.0003348214285714239
DSR1-7B,-0.019531249999999986,-0.002566964285714287
DSR1-Llama-8B,-0.021205357142857123,-0.004241071428571424
