model_name,paradigm,params_b,interaction,acc_control,acc_surgery,acc_jitter,acc_both
Qwen2.5-7B,transformer,7.0,-0.03794642857142849,0.703125,0.08258928571428571,0.7433035714285714,0.08482142857142858
Qwen3-8B,transformer,8.0,-0.024553571428571452,0.46875,0.4799107142857143,0.49330357142857145,0.4799107142857143
OLMo2-7B,transformer,7.0,-0.015625,0.859375,0.8794642857142857,0.875,0.8794642857142857
DSR1-7B,reasoning,7.0,-0.006696428571428548,0.34375,0.18303571428571427,0.34598214285714285,0.17857142857142858
DSR1-Llama-8B,reasoning,8.0,0.0,0.796875,0.8013392857142857,0.7879464285714286,0.7924107142857143
