pair_idx,reasoning_model,base_model,training_method,arch_family,reasoning_core_pr,base_core_pr,pr_delta,pr_ratio,reasoning_core_aniso,base_core_aniso,aniso_delta,mean_cka,core_mean_cka,min_cka,max_rdi,max_rdi_layer,max_rdi_frac,reasoning_n_layers,base_n_layers,reasoning_d_model,base_d_model
0,Qwen3-0.6B-R,Qwen3-0.6B-Base,strong-to-weak-distill,qwen3,1.5366574295305164,1.5704860985918125,-0.03382866906129611,0.9784597462584171,0.9825285828047973,0.9813569058976755,0.0011716769071217215,0.988100464026846,0.9884064867335958,0.9600646490395905,0.039935350960409455,28,1.0,29,29,1024,1024
1,Qwen3-1.7B-R,Qwen3-1.7B-Base,strong-to-weak-distill,qwen3,1.9148192233911838,2.114054382186748,-0.19923515879556408,0.9057568431189182,0.9745844464069651,0.97220353471731,0.002380911689655041,0.9833420830452355,0.9918992085513479,0.7292404908391065,0.27075950916089353,28,1.0,29,29,2048,2048
2,DSR1-1.5B,Qwen2.5-Math-1.5B,sft-distill-r1,qwen2.5,1.1860095441174958,1.5282501165108846,-0.3422405723933888,0.7760572247331143,0.9923829453391494,0.9823041903558687,0.010078754983280702,0.9552752250322468,0.9542177754684117,0.7980139110986972,0.20198608890130276,27,0.9642857142857143,29,29,1536,1536
3,Nemotron-1.5B-R,Qwen2.5-1.5B,sft-distill-r1-5M,qwen2.5,1.0379014740604917,1.3369257071382694,-0.2990242330777777,0.7763344429079397,0.9956360264939327,0.9929608530570379,0.0026751734368948288,0.9118569746044026,0.9079633556096753,0.5873044944249577,0.4126955055750423,27,0.9642857142857143,29,29,1536,1536
4,LFM2.5-Think,LFM2.5-Instruct,multi-stage-rl,lfm-hybrid,7.450803832176557,7.8118871907509995,-0.36108335857444285,0.9537777044448423,0.7050050716704049,0.6847503530681637,0.020254718602241262,0.9462531201422211,0.9384927424021255,0.8748757716015383,0.1251242283984617,12,0.75,17,17,2048,2048
7,SmolLM3-3B-R,SmolLM3-3B-Base,sft-apo-midtrain,smollm,1.1576668598278441,1.1876150420317866,-0.029948182203942464,0.9747829211116199,0.9891826297621701,0.986263170161534,0.0029194596006361095,0.9856429466256715,0.9865451342955116,0.9298098498928077,0.07019015010719232,36,1.0,37,37,2048,2048
