model_name,paradigm,layer_frac,surgery_strength,jitter_strength,interaction
Mamba-130M,ssm,0.48,0.06,0.08,-0.02777777777777779
Mamba-130M,ssm,0.48,0.12,0.04,-0.027777777777777762
Mamba-130M,ssm,0.48,0.12,0.08,-0.020833333333333343
Mamba-130M,ssm,0.78,0.06,0.04,0.0069444444444444475
Mamba-130M,ssm,0.78,0.06,0.08,-0.027777777777777762
Mamba-130M,ssm,0.78,0.12,0.04,-0.00694444444444442
Mamba-130M,ssm,0.78,0.12,0.08,-0.027777777777777762
Mamba-370M,ssm,0.19,0.06,0.04,-0.00694444444444442
Mamba-370M,ssm,0.19,0.06,0.08,-0.00694444444444442
Mamba-370M,ssm,0.19,0.12,0.04,-0.00694444444444442
Mamba-370M,ssm,0.19,0.12,0.08,0.0
Mamba-370M,ssm,0.49,0.06,0.04,0.013888888888888867
Mamba-370M,ssm,0.49,0.06,0.08,0.020833333333333315
Mamba-370M,ssm,0.49,0.12,0.04,2.7755575615628914e-17
Mamba-370M,ssm,0.49,0.12,0.08,0.006944444444444475
Mamba-370M,ssm,0.79,0.06,0.04,0.013888888888888895
Mamba-370M,ssm,0.79,0.06,0.08,0.0
Mamba-370M,ssm,0.79,0.12,0.04,0.006944444444444475
Mamba-370M,ssm,0.79,0.12,0.08,-0.01388888888888884
Mamba-790M,ssm,0.19,0.06,0.04,-0.0069444444444444475
Mamba-790M,ssm,0.19,0.06,0.08,0.013888888888888895
Mamba-790M,ssm,0.19,0.12,0.04,0.013888888888888881
Mamba-790M,ssm,0.19,0.12,0.08,0.0069444444444444475
Mamba-790M,ssm,0.49,0.06,0.04,0.0
Mamba-790M,ssm,0.49,0.06,0.08,0.0
Mamba-790M,ssm,0.49,0.12,0.04,-0.0069444444444444475
Mamba-790M,ssm,0.49,0.12,0.08,-0.020833333333333343
Mamba-790M,ssm,0.79,0.06,0.04,0.0069444444444444475
Mamba-790M,ssm,0.79,0.06,0.08,0.0
Mamba-790M,ssm,0.79,0.12,0.04,0.006944444444444434
Mamba-790M,ssm,0.79,0.12,0.08,0.006944444444444434
Mamba-2.8B,ssm,0.19,0.06,0.04,0.0
Mamba-2.8B,ssm,0.19,0.06,0.08,0.0
Mamba-2.8B,ssm,0.19,0.12,0.04,0.0
Mamba-2.8B,ssm,0.19,0.12,0.08,-0.013888888888888895
Mamba-2.8B,ssm,0.49,0.06,0.04,0.013888888888888895
Mamba-2.8B,ssm,0.49,0.06,0.08,0.02083333333333337
Mamba-2.8B,ssm,0.49,0.12,0.04,0.013888888888888895
Mamba-2.8B,ssm,0.49,0.12,0.08,0.006944444444444475
Mamba-2.8B,ssm,0.79,0.06,0.04,0.013888888888888895
Mamba-2.8B,ssm,0.79,0.06,0.08,0.01388888888888895
Mamba-2.8B,ssm,0.79,0.12,0.04,0.006944444444444475
Mamba-2.8B,ssm,0.79,0.12,0.08,0.006944444444444475
FalconH1-0.5B,hybrid,0.2,0.06,0.04,0.01388888888888884
FalconH1-0.5B,hybrid,0.2,0.06,0.08,0.01388888888888895
FalconH1-0.5B,hybrid,0.2,0.12,0.04,-0.006944444444444531
FalconH1-0.5B,hybrid,0.2,0.12,0.08,-0.04166666666666663
FalconH1-0.5B,hybrid,0.49,0.06,0.04,0.0
FalconH1-0.5B,hybrid,0.49,0.06,0.08,-0.01388888888888884
FalconH1-0.5B,hybrid,0.49,0.12,0.04,0.01388888888888895
FalconH1-0.5B,hybrid,0.49,0.12,0.08,-0.01388888888888884
FalconH1-0.5B,hybrid,0.8,0.06,0.04,-0.01388888888888884
FalconH1-0.5B,hybrid,0.8,0.06,0.08,-0.006944444444444531
FalconH1-0.5B,hybrid,0.8,0.12,0.04,0.02777777777777779
FalconH1-0.5B,hybrid,0.8,0.12,0.08,0.02083333333333326
Zamba2-1.2B,hybrid,0.19,0.06,0.04,0.0
Zamba2-1.2B,hybrid,0.19,0.06,0.08,0.0
Zamba2-1.2B,hybrid,0.19,0.12,0.04,0.0
Zamba2-1.2B,hybrid,0.19,0.12,0.08,0.0
Zamba2-1.2B,hybrid,0.49,0.06,0.04,0.0
Zamba2-1.2B,hybrid,0.49,0.06,0.08,0.0
Zamba2-1.2B,hybrid,0.49,0.12,0.04,0.0
Zamba2-1.2B,hybrid,0.49,0.12,0.08,0.0
Zamba2-1.2B,hybrid,0.78,0.06,0.04,0.0
Zamba2-1.2B,hybrid,0.78,0.06,0.08,0.0
Zamba2-1.2B,hybrid,0.78,0.12,0.04,0.0
Zamba2-1.2B,hybrid,0.78,0.12,0.08,0.0
