layer_frac,mean,std,count
0.17,-0.009548611111111143,0.013351457176284514,8
0.19,0.0022321428571428566,0.03581378722839116,28
0.2,0.04166666666666663,0.105192757706268,12
0.48,0.011408730158730146,0.06596787092305698,28
0.49,0.00277777777777779,0.011355141842522603,20
0.78,-0.0072337962962963085,0.015659906884129614,24
0.79,0.005787037037037053,0.0077405615142043405,12
0.8,-0.0028935185185185452,0.02572229812512889,12
