model_id,inferred_paradigm,param_b,downloads
state-spaces/mamba-130m-hf,ssm,0.12913536,137155.0
Qwen/Qwen2.5-0.5B,transformer,0.494032768,1085332.0
Qwen/Qwen3-0.6B,transformer,0.751632384,10187332.0
