inferred_paradigm,model_count,median_param_b,median_context_k,median_gqa_ratio,gqa_rate,ssm_signal_rate,quantized_rate,median_downloads,median_downloads_per_param_b,mean_convergence_score,mean_metadata_completeness,suspect_token_rate,long_context_rate
diffusion,2,16.255643392,32.0,4.0,1.0,0.0,0.0,34462.0,2120.0022151667044,0.5,0.5,0.0,0.0
hybrid,25,3.40283648,128.0,4.0,0.7727272727272727,0.96,0.32,3542.0,833.8116308850514,0.76,0.8923076923076924,0.08,0.52
liquid,3,2.56927232,125.0,4.0,1.0,0.0,0.3333333333333333,21514.0,8373.577153549842,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333
reasoning,10,14.6595072,128.0,4.5,0.9,0.0,0.1,352524.5,9530.973163839359,0.975,1.0,0.7,0.8
rwkv,7,7.635746816,4.0,7.0,1.0,0.0,0.14285714285714285,212.0,138.79754439174957,0.25,0.7142857142857143,0.14285714285714285,0.0
ssm,14,1.433295104,,,,0.5,0.14285714285714285,1791.0,1552.27625673685,0.125,0.5659340659340659,0.14285714285714285,0.0
transformer,67,13.251554616,128.0,4.0,0.9215686274509803,0.0,0.3582089552238806,108299.0,5238.670416408253,0.7201492537313433,0.8427095292766934,0.43283582089552236,0.417910447761194
xlstm,1,6.865424896,,,,0.0,0.0,694.0,101.08624164024356,0.0,0.6153846153846154,0.0,0.0
