event_id,event_framework,event_arch_key,event_paradigm,event_date,model_id,org,inferred_paradigm,arch_key,release_date,release_month_str,downloads,log10_downloads,adoption_residual,log10_params,param_b,recency_months,support_score,support_score_at_release,measured_tax,imbalance_weight,treated,post,treat_post,rel_months,event_time_bin,treated_pre_n,treated_post_n,control_pre_n,control_post_n,event_n,analysis_weight
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,ibm-granite/granite-4.0-h-tiny,ibm-granite,hybrid,granite_hybrid,2025-09-16,2025-09,23075.0,4.3631605302861045,-0.4627034468051745,9.841299218742256,6.939037248,3.2851511169513796,0.4,0.0,0.6,0.8013230879204457,1.0,0.0,0.0,-0.49277266754270693,lead_6_0,2,2,16,2,22.0,1.027934145335462
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,ibm-granite/granite-4.0-micro,ibm-granite,hybrid,granite,2025-09-16,2025-09,59036.0,4.77112428044526,0.020049353338603026,9.53184107999797,3.40283648,3.2851511169513796,0.9,1.0,0.09999999999999998,0.6542775615054915,0.0,0.0,0.0,-0.49277266754270693,lead_6_0,2,2,16,2,22.0,0.8393047150852688
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,ibm-granite/granite-4.0-tiny-preview,ibm-granite,hybrid,granite,2025-04-30,2025-04,26137.0,4.417272353627316,-0.20755157084469733,9.824226079650455,6.671539776,7.851511169513797,0.9,1.0,0.09999999999999998,0.6542775615054915,0.0,0.0,0.0,-5.059132720105125,lead_6_0,2,2,16,2,22.0,0.8393047150852688
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,nvidia/Nemotron-H-4B-Instruct-128K,nvidia,hybrid,nemotron_h,2025-04-15,2025-04,28485.0,4.454631469952393,-0.10736097089645469,9.652171183177307,4.48922304,8.344283837056505,0.725,0.9062499999999999,0.275,1.6026461758408914,0.0,0.0,0.0,-5.551905387647832,lead_6_0,2,2,16,2,22.0,2.055868290670924
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,tiiuae/Falcon-H1-3B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05,2626.0,3.4194600727860704,-1.1279938210855436,9.498226772922923,3.149392384,7.818659658344283,0.725,0.0,0.275,0.6542775615054915,0.0,0.0,0.0,-5.026281208935611,lead_6_0,2,2,16,2,22.0,0.8393047150852688
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,tiiuae/Falcon-H1-7B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05,3542.0,3.549371152333177,-1.0903470443510983,9.879993079980121,7.58565488,7.818659658344283,0.725,0.0,0.275,0.6542775615054915,0.0,0.0,0.0,-5.026281208935611,lead_6_0,2,2,16,2,22.0,0.8393047150852688
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,ai21labs/AI21-Jamba-1.5-Mini,ai21labs,hybrid,jamba,2024-08-19,2024-08,8021.0,3.904282657645628,-0.5753646239226278,10.712399854290679,51.570323328,16.1957950065703,0.525,0.8750000000000001,0.475,0.9252882010374628,0.0,0.0,0.0,-13.403416557161629,lead_18_12,2,2,16,2,22.0,1.1869561110372733
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,ibm-granite/granite-4.0-h-small,ibm-granite,hybrid,granite_hybrid,2025-09-16,2025-09,59123.0,4.771763808322534,-0.2152157887825661,10.507954830791892,32.207337984,3.2851511169513796,0.4,0.0,0.6,0.8013230879204457,1.0,0.0,0.0,-0.49277266754270693,lead_6_0,2,2,16,2,22.0,1.027934145335462
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,tiiuae/Falcon-H1-34B-Base,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05,1453.0,3.162564406523019,-1.633493810475867,10.526888470518598,33.642516224,7.818659658344283,0.725,0.0,0.275,0.6542775615054915,0.0,0.0,0.0,-5.026281208935611,lead_6_0,2,2,16,2,22.0,0.8393047150852688
llamacpp::granite_hybrid,llamacpp,granite_hybrid,hybrid,2025-10-01,tiiuae/Falcon-H1-34B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05,1439.0,3.1583624920952498,-1.6376957249036361,10.526888470518598,33.642516224,7.818659658344283,0.725,0.0,0.275,0.6542775615054915,0.0,0.0,0.0,-5.026281208935611,lead_6_0,2,2,16,2,22.0,0.8393047150852688
