arch_key,shock_date,paradigm,framework_events,n_treated,treated_pre_n,treated_post_n,control_pre_n,control_post_n,did_raw,did_coef,did_se,did_t,shrink_factor,did_shrunk
qwen_moe,2024-04-01,transformer,4,2,1,1,2,62,1.6336929291821565,1.707305078047597,0.6099557025235498,2.7990640483956777,0.3333333333333333,0.5445643097273855
nemotron,2024-10-01,transformer,6,2,1,1,25,39,0.8068129201665705,1.0427242020562948,1.1139709056533795,0.9360425813317842,0.3333333333333333,0.26893764005552345
mixtral,2024-01-08,transformer,6,2,1,1,1,63,0.027282319143761224,-5.207197805512628,2.1250246827958477,-2.450417563461726,0.3333333333333333,0.009094106381253741
gemma2,2024-06-27,transformer,6,3,2,1,6,57,-0.17018308100139196,10.649903901419663,4.851974630316708,2.1949628167623993,0.42857142857142855,-0.0729356061434537
jamba,2024-04-18,hybrid,3,3,1,2,2,21,-0.5187412374724439,4.922727978739006,3.7697387512986413,1.305853880999889,0.42857142857142855,-0.22231767320247597
falcon3,2024-12-12,transformer,6,4,1,3,38,24,-0.5366415950929998,-1.196114151150064,1.2762686457456383,-0.9371962205114382,0.5,-0.2683207975464999
granite_hybrid,2025-10-01,hybrid,3,4,2,2,19,2,-0.959884616515452,0.06970854192793104,0.4968198153935344,0.14030950410605988,0.5,-0.479942308257726
