inferred_paradigm,model_count,mean_adoption_premium,median_adoption_premium,median_downloads
transformer,15,1.4868319121146525,1.60065871824317,1560791.0
reasoning,5,0.5249287373358456,0.9788668996895371,419777.0
liquid,1,-0.32260997775460254,-0.32260997775460254,23315.0
diffusion,1,-0.42936236016803964,-0.42936236016803964,34822.0
hybrid,16,-0.7753636703094763,-0.6554797085126294,5703.5
ssm,5,-0.9560134734390962,-0.6131111189426779,2028.0
xlstm,1,-1.6597800234281177,-1.6597800234281177,652.0
rwkv,2,-2.664741957450545,-2.664741957450545,112.5
