paradigm,PR_mean,PR_std,PR_over_d_mean,PR_over_d_std,ER_mean,ER_std,ER_over_d_mean,ER_over_d_std,aniso_mean,aniso_std,n_layers
hybrid,6.024070502124359,4.067721841716456,0.004291497117726144,0.00372623613265725,8.236794094587571,4.1982250017472635,0.005756179495843827,0.003939241310795184,0.8582586280048465,0.09445713121582293,92
reasoning,1.1860095441174956,0.3821182249322671,0.0007721416302848279,0.00024877488602361136,1.5693889091836648,0.9847493198217808,0.001021737571083115,0.0006411128384256385,0.9923829453391492,0.008409891841856467,26
ssm,11.298402550373796,1.9685556436987741,0.005598557052275064,0.0014654143665487156,12.917424333406869,1.330034679665908,0.006412073155784941,0.001472611469380134,0.6034816931815529,0.1687177206619355,154
transformer,2.131216524096583,1.6082074922286589,0.0013487378832592904,0.0011355328610766996,3.535646290799314,2.8183666013576167,0.0021580500081835666,0.0016924226248889386,0.9694206643257958,0.04142140490076154,100
