excluded,loo_mean,delta
Qwen2.5-7B,-0.01171875,0.002031249999999995
Qwen3-8B,-0.010937500000000003,0.002812499999999992
OLMo2-7B,-0.01171875,0.002031249999999995
DSR1-7B,-0.01796874999999999,-0.004218749999999997
DSR1-Llama-8B,-0.016406249999999983,-0.0026562499999999885
