spec,n,r2,did_coef,did_se,did_t,did_ci_low,did_ci_high,treated_coef,post_coef,controls,fixed_effects,weighting
s1_did_only,2001,0.01518553656260413,-0.7082232479288518,0.23896779997722958,-2.963676478572996,-1.1766001358842217,-0.23984635997348186,0.1290505553804594,0.3022817672999486,,none,analysis_weight
s2_plus_size_recency,2001,0.023396430938306345,-0.802672725237506,0.23958876622580916,-3.3502101867372107,-1.272266707040092,-0.33307874343492005,0.21560767661158048,0.3865184990083821,log10_params|recency_months,none,analysis_weight
s3_plus_org_fe,2001,0.8060186894296417,-0.3100614599906905,0.10886800900681584,-2.8480493289013733,-0.5234427576440496,-0.09668016233733145,0.20602896446974717,0.0990858903948719,log10_params|recency_months,org,analysis_weight
s4_plus_release_month_fe,2001,0.8930236873229798,-0.014582657082751334,0.09065482653310816,-0.16085913613684522,-0.19226611708764332,0.16310080292214066,-0.01346881107080744,0.022671358582386097,log10_params|recency_months,org|release_month_str,analysis_weight
s5_plus_event_fe,2001,0.8997640259560187,0.14607709871809327,0.09266448003066215,1.57640876708915,-0.03554528214200453,0.32769947957819107,-0.07337486338421106,-0.03835602270072469,log10_params|recency_months,org|release_month_str|event_id,analysis_weight
