model_id,org,inferred_paradigm,arch_key,release_date,release_month,downloads,log10_downloads,adoption_residual,log10_params,param_b,recency_months,support_score,measured_tax,support_score_at_release,support_gain_after_release,frameworks_supported_at_release,first_shock_date,post_first_shock_release,months_from_first_shock,imbalance_weight
state-spaces/mamba-1.4b-hf,state-spaces,ssm,mamba,2024-03-05,2024-03-01,2130.0,3.328583449714202,-0.5338445006452686,9.13741058877191,1.372178432,21.681997371879106,0.625,0.375,0.24999999999999997,0.375,2,2024-03-05,1.0,0.0,0.9577642800026963
state-spaces/mamba-130m-hf,state-spaces,ssm,mamba,2024-03-06,2024-03-01,137155.0,5.1372148109190015,1.5214195765950667,8.111045177589423,0.12913536,21.64914586070959,0.625,0.375,0.24999999999999997,0.375,2,2024-03-05,1.0,0.0328515111695138,0.9577642800026963
state-spaces/mamba-2.8b-hf,state-spaces,ssm,mamba,2024-03-05,2024-03-01,5470.0,3.738066714777469,-0.19802686707513484,9.442220306450837,2.7683456,21.681997371879106,0.625,0.375,0.24999999999999997,0.375,2,2024-03-05,1.0,0.0,0.9577642800026963
state-spaces/mamba-370m-hf,state-spaces,ssm,mamba,2024-03-06,2024-03-01,4265.0,3.63002085111341,-0.09668809375948495,8.569978008461874,0.371516416,21.64914586070959,0.625,0.375,0.24999999999999997,0.375,2,2024-03-05,1.0,0.0328515111695138,0.9577642800026963
state-spaces/mamba-790m-hf,state-spaces,ssm,mamba,2024-03-06,2024-03-01,1233.0,3.091315159697223,-0.7150040271976139,8.899385018260203,0.793204224,21.64914586070959,0.625,0.375,0.24999999999999997,0.375,2,2024-03-05,1.0,0.0328515111695138,0.9577642800026963
state-spaces/mamba2-1.3b,state-spaces,ssm,mamba2,2024-05-28,2024-05-01,298.0,2.4756711883244296,,,,18.922470433639948,0.3,0.7,0.0,0.3,0,2024-08-06,0.0,-2.299605781865966,0.9577642800026963
state-spaces/mamba2-130m,state-spaces,ssm,mamba2,2024-05-28,2024-05-01,7446.0,3.871981353843369,,,,18.922470433639948,0.3,0.7,0.0,0.3,0,2024-08-06,0.0,-2.299605781865966,0.9577642800026963
state-spaces/mamba2-2.7b,state-spaces,ssm,mamba2,2024-05-28,2024-05-01,1452.0,3.1622656142980214,,,,18.922470433639948,0.3,0.7,0.0,0.3,0,2024-08-06,0.0,-2.299605781865966,0.9577642800026963
state-spaces/mamba2-370m,state-spaces,ssm,mamba2,2024-05-28,2024-05-01,484.0,2.6857417386022635,,,,18.922470433639948,0.3,0.7,0.0,0.3,0,2024-08-06,0.0,-2.299605781865966,0.9577642800026963
state-spaces/mamba2-780m,state-spaces,ssm,mamba2,2024-05-28,2024-05-01,465.0,2.66838591669,,,,18.922470433639948,0.3,0.7,0.0,0.3,0,2024-08-06,0.0,-2.299605781865966,0.9577642800026963
tiiuae/Falcon-H1-0.5B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05-01,998.0,2.9995654882259823,-1.3591270896276666,8.71718027569034,0.521411104,7.818659658344283,0.725,0.275,0.0,0.725,0,2025-05-20,0.0,-0.6241787122207622,0.6542775615054915
tiiuae/Falcon-H1-1.5B-Instruct,tiiuae,hybrid,falcon_h1,2025-05-01,2025-05-01,612.0,2.787460474518415,-1.6859109450659036,9.191692265381624,1.554863488,7.818659658344283,0.725,0.275,0.0,0.725,0,2025-05-20,0.0,-0.6241787122207622,0.6542775615054915
tiiuae/Falcon3-1B-Instruct,tiiuae,transformer,falcon3,2024-12-14,2024-12-01,8033.0,3.904931827395653,-0.38040306370445176,9.222562690154811,1.669408768,12.352168199737187,1.0,0.0,1.0,0.0,6,2024-12-12,1.0,0.0657030223390276,0.48948598200559784
AIDC-AI/Marco-o1,AIDC-AI,transformer,marco_o1,2024-11-13,2024-11-01,3304.0,3.519171463821659,-0.8815472270728182,9.88170506682134,7.615616512,13.370565045992116,1.0,0.0,0.0,1.0,0,2024-12-01,0.0,-0.5913272010512484,0.9789719640111957
CohereForAI/aya-expanse-8b,CohereForAI,transformer,cohere,2024-10-23,2024-10-01,72348.0,4.859432532725502,0.48292801760960824,9.904609150326593,8.028033024,14.060446780551905,0.9500000000000001,0.04999999999999993,0.9500000000000001,0.0,6,2024-04-04,1.0,6.636005256241787,0.48948598200559784
CohereForAI/c4ai-command-r7b-12-2024,CohereForAI,transformer,cohere,2024-12-11,2024-12-01,11424.0,4.057856208741888,-0.38806417905913637,9.904609958755094,8.028047968,12.450722733245728,0.9500000000000001,0.04999999999999993,0.9500000000000001,0.0,6,2024-04-04,1.0,8.245729303547963,0.48948598200559784
ML-GSAI/LLaDA-8B-Base,ML-GSAI,diffusion,llada,,,,,,,,,0.275,0.725,0.0,0.275,0,2025-03-01,0.0,,5.666209893898911
NX-AI/xLSTM-7b,NX-AI,xlstm,xlstm,2024-12-11,2024-12-01,694.0,2.8419848045901137,-1.5875154046838844,9.83666742056445,6.865424896,12.450722733245728,0.075,0.925,0.0,0.075,0,2025-07-25,0.0,-7.424441524310118,8.013230879204457
Qwen/Qwen2.5-3B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,247654.0,5.39384710054173,1.1715249059308404,9.489387293169841,3.085938688,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
Qwen/Qwen2.5-7B,Qwen,transformer,qwen2,2024-09-15,2024-09-01,1332247.0,6.124585076941011,1.807448528109103,9.88170506682134,7.615616512,15.308804204993429,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.2851511169513796,0.30957811717237665
Qwen/Qwen2.5-Coder-7B,Qwen,transformer,qwen2,2024-09-16,2024-09-01,253750.0,5.4044077624232445,1.0858545671157005,9.88170506682134,7.615616512,15.275952693823916,1.0,0.0,1.0,0.0,6,2024-06-07,1.0,3.3180026281208934,0.30957811717237665
