model_id,inferred_paradigm,raw_config_present,raw_config_source,layer_dna_source,layer_total_estimate,attn_layer_count,ssm_layer_count,attn_layer_ratio,attn_period,attn_periodicity,layer_transition_rate,transition_complexity,kv_cache_mb_per_1k_tokens,state_memory_proxy,framework_support_index,compatibility_tax,hybridization_score,adoption_residual
microsoft/Phi-4-mini-instruct,transformer,False,missing,count_fallback:attention_only,32.0,32.0,0.0,1.0,,,,0.0,125.0,,0.8938677092994276,0.1061322907005724,0.0,0.8671739781774139
microsoft/Phi-4-mini-reasoning,reasoning,False,missing,count_fallback:attention_only,32.0,32.0,0.0,1.0,,,,0.0,125.0,,0.8438677092994276,0.15613229070057244,0.0,-0.5082924357146412
nvidia/Nemotron-H-4B-Instruct-128K,hybrid,False,missing,count_fallback:hybrid_split,52.0,13.0,39.0,0.25,,,,0.5,50.78125,30.1640625,0.29094089908756626,0.7090591009124337,0.9,-0.08469289008875691
tiiuae/Falcon-H1-3B-Instruct,hybrid,False,missing,count_fallback:hybrid_split,32.0,8.0,24.0,0.25,,,,0.5,7.8125,30.46875,0.3922710235602593,0.6077289764397407,0.9,-1.0656691447371456
tiiuae/Falcon-H1-7B-Instruct,hybrid,False,missing,count_fallback:hybrid_split,44.0,11.0,33.0,0.25,,,,0.5,10.7421875,50.2734375,0.3762611755140088,0.6237388244859912,0.9,-1.1377081348658358
tiiuae/falcon-mamba-7b,ssm,False,missing,count_fallback:ssm_only,64.0,0.0,64.0,0.0,,,,0.0,,10.0,0.4384760509497779,0.5615239490502222,0.35,-0.4891772404349637
Qwen/Qwen3-14B,transformer,False,missing,count_fallback:attention_only,40.0,40.0,0.0,1.0,,,,0.0,156.25,,0.9599207722230183,0.040079227776981696,0.0,1.1136782893844632
Qwen/Qwen3-32B,transformer,False,missing,count_fallback:attention_only,64.0,64.0,0.0,1.0,,,,0.0,250.0,,0.9515903296938899,0.0484096703061101,0.0,1.3172240912647428
allenai/Olmo-3-1125-32B,transformer,False,missing,count_fallback:attention_only,64.0,64.0,0.0,1.0,,,,0.0,250.0,,0.9215903296938899,0.07840967030611012,0.0,-1.223761572307815
deepseek-ai/DeepSeek-R1-Distill-Qwen-14B,reasoning,False,missing,count_fallback:attention_only,48.0,48.0,0.0,1.0,,,,0.0,187.5,,0.8366916587412698,0.16330834125873017,0.0,0.9788668996895371
google/gemma-3-12b-it,transformer,False,missing,none,,,,,,,,,,,0.95,0.050000000000000044,0.0,1.4375546459437851
google/gemma-3-27b-it,transformer,False,missing,none,,,,,,,,,,,0.95,0.050000000000000044,0.0,1.4516101032128965
ibm-granite/granite-4.0-h-small,hybrid,False,missing,count_fallback:hybrid_split,40.0,10.0,30.0,0.25,,,,0.5,39.0625,30.9375,0.29496471696087784,0.7050352830391222,0.9,-0.2432911254071266
inclusionAI/LLaDA2.0-mini,diffusion,False,missing,count_fallback:attention_only,20.0,20.0,0.0,1.0,,,,0.0,39.0625,,0.7842805333775292,0.21571946662247077,0.0,-0.42936236016803964
microsoft/Phi-4-reasoning,reasoning,False,missing,count_fallback:attention_only,40.0,40.0,0.0,1.0,,,,0.0,195.3125,,0.8359682076039667,0.16403179239603327,0.0,-0.9736439921950257
openai/gpt-oss-20b,transformer,False,missing,count_fallback:attention_only,24.0,24.0,0.0,1.0,,,,0.0,46.875,,0.9511067951022468,0.04889320489775317,0.0,1.8363111258787326
tiiuae/Falcon-H1-34B-Instruct,hybrid,False,missing,count_fallback:hybrid_split,72.0,18.0,54.0,0.25,,,,0.5,35.15625,137.109375,0.33410816032477,0.66589183967523,0.9,-1.9788222975955616
TinyLlama/TinyLlama-1.1B-Chat-v1.0,transformer,False,missing,count_fallback:attention_only,22.0,22.0,0.0,1.0,,,,0.0,21.484375,,0.924570666075047,0.07542933392495299,0.0,2.4314946818640837
