indirect_effect,direct_effect,total_effect
0.3166352341103822,-1.100547023443987,-0.7839117893335708
0.43529731440329916,-1.3559044355231333,-0.9206071211199323
0.11169792919497333,-1.579771563243795,-1.468073634048797
0.20145414013591476,-0.28826666759115227,-0.08681252745502555
-0.08587214353842275,0.1819417998755679,0.09606965633715148
0.2753112778537103,-2.363269792959305,-2.0879585151056226
-0.02571166730456633,3.2269949663939146,3.201283299089344
-0.015474026484713908,-1.0132911832128786,-1.0287652096975797
-0.032292082921650554,-0.901117827614724,-0.9334099105363745
0.2748967647364781,-1.1990009198069522,-0.9241041550704665
0.021996966923073926,3.819194071879063,3.841191038802117
0.23335278665676237,-1.0834496865040286,-0.850096899847685
0.42640185341221426,-14.243679563434398,-13.817277710022116
-0.0882217766124105,0.9149666625416825,0.8267448859292641
0.06949882701876592,-0.7784126832191807,-0.7089138562003652
0.018017705157348123,-2.433640734672403,-2.41562302951506
-0.04225973961947774,0.22675849001136217,0.1844987503918396
-1.7927928172095988,59.73444257647407,57.94164975926495
2.2153332138143336,-32.84170679107209,-30.62637357724887
0.13252744111787174,-2.138185272098631,-2.0056578309807644
0.04872125849812364,-3.090412058757219,-3.041690800259098
-0.27915237431842577,-0.35129890156625976,-0.6304512758844432
0.19514508052379978,-4.611109630690576,-4.415964550166758
0.09469892505899238,0.013974336811817478,0.10867326187078663
0.1400743246500224,-5.400401700764515,-5.2603273761145095
0.015633788390552288,-0.2794028159788483,-0.26376902758829546
0.21577579633010338,-8.195892598829058,-7.9801168024989675
-0.020226385524563503,-0.2877502462869845,-0.30797663181155366
0.014763098632368167,-0.7236718741106877,-0.7089087754783178
-0.005672974530020761,1.4706559057302195,1.4649829312002018
-0.1990007122259811,4.0833805997225845,3.8843798874965723
0.11372604041323323,-0.6352177975697813,-0.5214917571565199
0.40478632417147414,-12.575284626042993,-12.170498301871593
-0.02026344451291618,0.0920663422677136,0.07180289775480742
0.3163352667223399,-1.4764858169849209,-1.1601505502622693
-0.13456828636176482,-0.2006143541320693,-0.3351826404938656
1.2333255090026296,5.8863736816329455,7.119699190635543
0.10140400580433634,-2.0771008191271565,-1.9756968133228114
0.2821914764432449,-4.5846068468261,-4.302415370383045
0.08890712390324641,-3.5129043847505335,-3.4239972608472717
0.3908704788986086,-1.2380721545083269,-0.8472016756097052
0.04711575035793658,-1.774998266948426,-1.7278825165904852
0.19627552418344785,-1.378656309477666,-1.1823807852941792
0.08116470668636278,-3.2144811689198027,-3.133316462233438
0.076262166306192,-1.5032319961707308,-1.4269698298645768
0.06011841639959593,-1.7122667750639275,-1.652148358664333
0.23138501949817245,-2.712929010499634,-2.481543991001478
0.14711946353595018,-4.13845272551471,-3.9913332619787694
-0.20688487135395783,3.6109012452089426,3.4040163738549243
0.04381246849697993,-1.9529694715433936,-1.9091570030464
0.08409714958055918,-0.6608317044645897,-0.5767345548840366
-0.4003443480897005,5.687428741423184,5.287084393333533
0.050869857171314224,-0.8629380544099883,-0.8120681972386681
-0.08232895254538922,0.7551668539077433,0.6728379013623481
-0.11004896391238667,-0.8864240865655275,-0.9964730504779296
0.08448468601060505,-3.654140486959575,-3.569655800948971
-0.0298939811736007,1.6976912369231754,1.6677972557495797
0.31963786632512514,-1.2491746539477333,-0.9295367876228795
0.23315324204196117,-1.032102681716033,-0.7989494396738941
-0.3493792089593063,10.795369468176725,10.445990259217329
-0.010819212354424056,-1.3395529849701657,-1.3503721973245355
-0.04497421880007596,-0.9514988316778472,-0.9964730504779215
0.1611251253007762,-0.5670792601646772,-0.4059541348639
0.13806706016091733,-6.454501892959401,-6.316434832794933
0.042408512627041484,-1.3219766475884591,-1.279568134961411
0.10110419296797775,-2.1134558975626043,-2.0123517045946233
0.06221187692751604,-1.4607797430915874,-1.3985678661640755
-0.1505026342450424,24.14572858729496,23.995225953049864
0.006967976783760522,-1.0964083320687115,-1.089440355284942
0.09631367949421857,-1.620418801947256,-1.5241051224530682
0.010002540641073632,-0.7420238617991871,-0.7320213211581184
0.22057934457660822,1.3677071008680481,1.5882864454446532
0.02826830910727329,-1.992143059908908,-1.9638747508016265
0.05372355889877813,-1.104863179207318,-1.0511396203085355
0.25350319743585215,-0.7920715670698897,-0.5385683696342873
-0.011555703659270073,0.46761295817664,0.4560572545173636
0.010435154287180908,-1.3798465881448925,-1.3694114338577077
0.007886190328780109,0.7519995390614418,0.7598857293902193
0.10913653475070452,-0.7638056709550811,-0.6546691362043675
0.06308377455131386,0.7011012621084515,0.7641850366597658
0.27190815388817996,0.8211910294554774,1.0930991833437114
-0.05502753257205828,-1.7105254314271683,-1.7655529639992267
0.0490266887630282,-1.7375446082313817,-1.6885179194683517
0.05876117286903382,-1.772749685053161,-1.7139885121841352
0.05876231303749403,-0.5981956955016697,-0.539433382464185
0.005384102373712931,-0.2618052507289012,-0.25642114835519325
0.03247782736873253,0.1543502666314805,0.18682809400021058
0.19451574842490277,-9.741995903385488,-9.547480154960553
-0.1121411379575905,-0.8396686673753324,-0.9518098053329407
0.05845715142207951,-1.2007550555832778,-1.1422979041611965
0.18711293129934695,-7.259709302459063,-7.0725963711596975
