comparison,paradigm_b,mean_cka,min_cka,max_rdi,max_divergence_layer_frac
DSR1-1.5B vs Qwen3-1.7B,transformer,0.948780987625475,0.7472061555546267,0.25279384444537334,0.07142857142857142
DSR1-1.5B vs Qwen3-0.6B,transformer,0.9470345775055908,0.45442309650385393,0.5455769034961461,0.07142857142857142
DSR1-1.5B vs Gemma3-1B,transformer,0.8236517075246849,0.3161527054630091,0.6838472945369909,1.0
DSR1-1.5B vs Gemma2-2B,transformer,0.9119756319027705,0.4660905760157686,0.5339094239842315,1.0
DSR1-1.5B vs FalconH1-1.5B,hybrid,0.6841498268454536,0.3684063422515265,0.6315936577484735,0.125
DSR1-1.5B vs Mamba-1.4B,ssm,0.36244954276838653,0.25548026384151395,0.7445197361584861,0.42857142857142855
