stage,predictors,n,r2,hybrid_coef,hybrid_se,hybrid_t,hybrid_beta_std,measured_tax_coef,measured_tax_t,hybrid_coef_shift
s1_hybrid_only,hybridization_score,116,0.1874628330332061,-1.6976197226371952,0.33101830936097787,-5.128476808169329,-0.43296978304865785,,,0.0
s2_plus_measured_tax,hybridization_score|measured_tax,116,0.3936743580817109,-0.6996949946557671,0.3292430679888775,-2.1251624185430207,-0.1784538586567085,-2.60001380224531,-6.199300966348863,0.9979247279814281
s3_plus_efficiency,hybridization_score|measured_tax|is_long_context_128k_f|has_quant_f,116,0.40957532350961745,-0.8152514524177472,0.33551932626779457,-2.4298196514827723,-0.20792597999219442,-2.350564715197882,-5.291424872131911,0.882368270219448
s4_plus_quality,hybridization_score|measured_tax|is_long_context_128k_f|has_quant_f|architecture_quality_index|convergence_score,116,0.42546651446037087,-0.7330732703444895,0.33894547679035886,-2.1628058804215953,-0.18696682807546278,-2.5701252341312686,-5.442646523362661,0.9645464522927056
