model,role,core_pr,domain,baseline_acc,mild_acc,expansion_gain,pressure_auc,paradigm
Qwen3-0.6B,reasoning,1.07,overall,0.59375,0.3663194444444444,-0.22743055555555558,0.667998866213152,transformer
DSR1-1.5B,reasoning,1.08,overall,0.3125,0.25925925925925924,-0.053240740740740755,0.7124149659863945,reasoning
Gemma2-2B,base,2.53,overall,0.65625,0.6545138888888888,-0.0017361111111111605,0.0338718820861678,transformer
Gemma3-1B,base,1.45,overall,0.4375,0.23148148148148148,-0.20601851851851852,0.8069160997732426,transformer
Mamba-790M,ssm,6.14,overall,0.125,0.16203703703703703,0.037037037037037035,0.829861111111111,ssm
FalconH1-0.5B,hybrid,5.66,overall,1.0,0.9913194444444444,-0.00868055555555558,0.2503401360544217,hybrid
FalconH1-1.5B,hybrid,1.63,overall,0.9375,0.9212962962962963,-0.01620370370370372,0.1887329931972787,hybrid
Zamba2-1.2B,hybrid,4.54,overall,0.90625,0.9108796296296297,0.00462962962962965,0.078316326530612,hybrid
