feature,release_month,dominant_value,dominance_share,normalized_entropy,model_count
feature_head_dim,2024-08-01,unknown,0.6666666666666666,0.7896900821401168,6
feature_head_dim,2024-09-01,128,0.7142857142857143,0.6458459985661443,14
feature_head_dim,2024-10-01,128,0.3333333333333333,0.9591479170243595,6
feature_head_dim,2024-11-01,128,0.6666666666666666,0.7896900821401168,6
feature_head_dim,2024-12-01,other,0.625,0.8194483718700727,8
feature_head_dim,2025-01-01,128,0.7777777777777778,0.7642045065057349,9
feature_head_dim,2025-02-01,128,0.75,0.8112781244562475,4
feature_head_dim,2025-03-01,unknown,0.42857142857142855,0.9211854965856692,7
feature_head_dim,2025-04-01,128,0.8571428571428571,0.591672778579442,14
feature_head_dim,2025-05-01,128,0.8333333333333334,0.6500224216454689,6
feature_head_dim,2025-07-01,128,1.0,0.0,1
feature_head_dim,2025-08-01,64,1.0,0.0,1
feature_head_dim,2025-09-01,128,0.6666666666666666,0.9182958340516042,3
feature_head_dim,2025-10-01,128,0.5,0.9999999999971146,4
feature_head_dim,2025-11-01,128,1.0,0.0,2
feature_head_dim,2025-12-01,64,1.0,0.0,1
feature_kv_comp,2023-11-01,unknown,1.0,0.0,1
feature_kv_comp,2023-12-01,high,0.6666666666666666,0.9182958340516042,3
feature_kv_comp,2024-01-01,unknown,1.0,0.0,1
feature_kv_comp,2024-02-01,low,1.0,0.0,1
feature_kv_comp,2024-03-01,unknown,0.8333333333333334,0.6500224216454689,6
feature_kv_comp,2024-04-01,high,0.6666666666666666,0.9182958340516042,3
feature_kv_comp,2024-05-01,unknown,1.0,0.0,5
feature_kv_comp,2024-06-01,medium,0.6666666666666666,0.9182958340516042,3
feature_kv_comp,2024-07-01,unknown,0.6,0.785475297224449,10
feature_kv_comp,2024-08-01,unknown,0.6666666666666666,0.9182958340516042,6
feature_kv_comp,2024-09-01,high,0.6428571428571429,0.8120406807913693,14
feature_kv_comp,2024-10-01,high,0.5,0.9206198357115741,6
feature_kv_comp,2024-11-01,high,0.6666666666666666,0.7896900821401168,6
feature_kv_comp,2024-12-01,medium,0.375,0.9528195311118978,8
feature_kv_comp,2025-01-01,high,0.8888888888888888,0.5032583347727604,9
feature_kv_comp,2025-02-01,high,0.5,0.9463946303544555,4
feature_kv_comp,2025-03-01,unknown,0.5714285714285714,0.9852281360313663,7
feature_kv_comp,2025-04-01,high,0.5714285714285714,0.8699155297708953,14
feature_kv_comp,2025-05-01,high,1.0,0.0,6
feature_kv_comp,2025-07-01,high,1.0,0.0,1
feature_kv_comp,2025-08-01,high,1.0,0.0,1
feature_kv_comp,2025-09-01,high,0.6666666666666666,0.9182958340516042,3
feature_kv_comp,2025-10-01,high,0.5,0.9999999999971146,4
feature_kv_comp,2025-11-01,high,1.0,0.0,2
feature_kv_comp,2025-12-01,high,1.0,0.0,1
feature_norm,2023-11-01,unknown,1.0,0.0,1
feature_norm,2023-12-01,rmsnorm,0.6666666666666666,0.9182958340516042,3
feature_norm,2024-01-01,unknown,1.0,0.0,1
feature_norm,2024-02-01,rmsnorm,1.0,0.0,1
feature_norm,2024-03-01,unknown,0.8333333333333334,0.6500224216454689,6
feature_norm,2024-04-01,rmsnorm,0.6666666666666666,0.9182958340516042,3
feature_norm,2024-05-01,unknown,1.0,0.0,5
feature_norm,2024-06-01,rmsnorm,1.0,0.0,3
feature_norm,2024-07-01,unknown,0.7,0.8812908992278073,10
feature_norm,2024-08-01,unknown,0.6666666666666666,0.9182958340516042,6
feature_norm,2024-09-01,rmsnorm,0.8571428571428571,0.591672778579442,14
feature_norm,2024-10-01,rmsnorm,0.6666666666666666,0.9182958340516042,6
feature_norm,2024-11-01,rmsnorm,0.8333333333333334,0.6500224216454689,6
feature_norm,2024-12-01,rmsnorm,0.75,0.8112781244562475,8
feature_norm,2025-01-01,rmsnorm,1.0,0.0,9
feature_norm,2025-02-01,rmsnorm,0.75,0.8112781244562475,4
feature_norm,2025-03-01,unknown,0.5714285714285714,0.9852281360313663,7
feature_norm,2025-04-01,rmsnorm,0.8571428571428571,0.591672778579442,14
feature_norm,2025-05-01,rmsnorm,1.0,0.0,6
feature_norm,2025-07-01,rmsnorm,1.0,0.0,1
feature_norm,2025-08-01,rmsnorm,1.0,0.0,1
feature_norm,2025-09-01,rmsnorm,1.0,0.0,3
feature_norm,2025-10-01,rmsnorm,1.0,0.0,4
feature_norm,2025-11-01,rmsnorm,1.0,0.0,2
feature_norm,2025-12-01,unknown,1.0,0.0,1
feature_position,2023-11-01,rope,1.0,0.0,1
feature_position,2023-12-01,rope,1.0,0.0,3
feature_position,2024-01-01,unknown,1.0,0.0,1
feature_position,2024-02-01,rope,1.0,0.0,1
feature_position,2024-03-01,implicit_recurrence,0.8333333333333334,0.6500224216454689,6
feature_position,2024-04-01,rope,0.6666666666666666,0.9182958340516042,3
feature_position,2024-05-01,unknown,1.0,0.0,5
feature_position,2024-06-01,rope,1.0,0.0,3
feature_position,2024-07-01,unknown,0.6,0.9709505944517833,10
feature_position,2024-08-01,unknown,0.6666666666666666,0.9182958340516042,6
feature_position,2024-09-01,rope,0.8571428571428571,0.591672778579442,14
feature_position,2024-10-01,rope,0.6666666666666666,0.9182958340516042,6
feature_position,2024-11-01,rope,0.8333333333333334,0.6500224216454689,6
feature_position,2024-12-01,rope,0.75,0.6695919455330485,8
feature_position,2025-01-01,rope,1.0,0.0,9
feature_position,2025-02-01,rope,0.75,0.8112781244562475,4
feature_position,2025-03-01,unknown,0.5714285714285714,0.9852281360313663,7
feature_position,2025-04-01,rope,0.7142857142857143,0.6908140210948742,14
feature_position,2025-05-01,rope,1.0,0.0,6
feature_position,2025-07-01,rope,1.0,0.0,1
feature_position,2025-08-01,rope,1.0,0.0,1
feature_position,2025-09-01,nope,0.6666666666666666,0.9182958340516042,3
feature_position,2025-10-01,nope,0.5,0.9999999999971146,4
feature_position,2025-11-01,rope,1.0,0.0,2
feature_position,2025-12-01,rope,1.0,0.0,1
