term,beta_std,std_err,t_value,n,r2
intercept,-9.122723370430015e-16,0.09185801382842934,-9.931330964187039e-15,116,0.04651789839106579
log10_params,0.13154564653149103,0.09188259427927478,1.4316710097634098,116,0.04651789839106579
recency_months,-0.17398963451143384,0.09188259427927478,-1.8936082059524444,116,0.04651789839106579
