release_month,models_seen,active_paradigms,between_distance,within_distance,overlap_ratio,convergence_index
2024-03-01,11,3,3.4857202434598875,1.0638331391071687,0.30519751007066315,0.23383243357102312
2024-04-01,14,3,3.0030441143864652,1.4119308931273788,0.47016655078853953,0.3198049571569702
2024-05-01,19,3,2.8514297344023958,1.6693474626079534,0.585442258129931,0.36926116679927207
2024-06-01,22,3,2.845129303372609,1.8458285692050902,0.6487679020480374,0.39348649451639756
2024-07-01,33,4,2.5453081372495445,1.9433106398921403,0.7634873795639198,0.43294178819284607
2024-08-01,39,4,2.431033500314888,2.1305805459844165,0.876409373094846,0.46706725390597725
2024-09-01,53,4,2.725238184216417,2.16020138933171,0.7926651702746621,0.44217134544607367
2024-10-01,59,4,2.7129276073945756,2.214336267781593,0.8162164968004315,0.44940484696528915
2024-11-01,65,4,2.753247530891968,2.239441236430971,0.8133817287778142,0.44854412938527755
2024-12-01,72,4,2.732885388855687,2.277923868929982,0.833523380899248,0.45460199176213834
2025-01-01,81,5,2.8389575177602637,2.2755272213268363,0.8015362002039623,0.4449181760062417
2025-02-01,85,5,2.679389163442123,2.325445563760987,0.8679013841993358,0.4646398313856148
2025-03-01,92,5,2.718503152681838,2.3647639360306036,0.8698772093373752,0.4652055252577959
2025-04-01,106,5,2.6097329895112726,2.3776065389508187,0.9110535631444673,0.4767284291317352
2025-05-01,112,5,2.4264763932183113,2.3820290283921013,0.9816823419541948,0.4953782557229274
2025-07-01,113,5,2.4283455575172956,2.374783696358577,0.9779430645717253,0.4944242744335387
2025-08-01,114,5,2.429778017400174,2.377793429120036,0.9786052108839394,0.49459346690325795
2025-09-01,117,5,2.407797596716601,2.3796019064759535,0.9882898420199085,0.4970552185771379
2025-10-01,121,5,2.408320874285453,2.3534443266806977,0.9772137723873632,0.4942377936238215
2025-11-01,122,5,2.411015002990278,2.3462976099487394,0.9731576149620613,0.4931981143233571
2025-12-01,122,5,2.411015002990278,2.3462976099487394,0.9731576149620613,0.4931981143233571
