inferred_paradigm,model_count,mean_adoption_premium,median_adoption_premium,median_downloads
reasoning,10,0.6177525143506324,0.735592009871791,352524.5
transformer,66,0.4960024167826701,0.6168137303127001,108299.0
diffusion,1,-0.4770254939957974,-0.4770254939957974,34462.0
liquid,1,-0.5305060989077415,-0.5305060989077415,21514.0
ssm,9,-0.7624953667044516,-0.42499107883408493,4265.0
hybrid,25,-0.9422347005391627,-1.0903470443510983,3542.0
xlstm,1,-1.5875154046838844,-1.5875154046838844,694.0
rwkv,3,-1.966770613252085,-2.0793725795138918,212.0
